type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
W	-53.658747548	121.021260711		1.1	http://maps.google.com/mapfiles/kml/pushpin/ylw-pushpin.png	Untitled Placemark		20,2	

type	latitude	longitude	altitude (m)	scale	sym	name	desc	ge_hotspot	kml_folder
T	33.745573510	73.133427953	622.5						
T	33.745569883	73.133439384	622.5						
T	33.745559021	73.133478085	622.5						
T	33.745550016	73.133516548	622.6						
T	33.745546439	73.133536787	622.7						
T	33.745542881	73.133586000	622.8						
T	33.745539283	73.133610716	622.9						
T	33.745533876	73.133697948	622.5						
T	33.745533783	73.133762715	622.3						
T	33.745533690	73.133787330	622.2						
T	33.745540818	73.133860754	622.0						
T	33.745548296	73.133916212	621.8						
T	33.745552163	73.133947304	621.8						
T	33.745571092	73.134023023	621.7						
T	33.745574935	73.134047678	621.6						
T	33.745597222	73.134094884	621.6						
T	33.745629089	73.134162864	621.5						
T	33.745640408	73.134185677	621.5						
T	33.745672526	73.134233956	621.6						
T	33.745687679	73.134252503	621.6						
T	33.745710477	73.134280443	621.7						
T	33.745721803	73.134287543	621.8						
T	33.745754006	73.134301984	621.9						
T	33.745771130	73.134306954	622.0						
T	33.745782551	73.134307189	622.1						
T	33.745793959	73.134302792	622.2						
T	33.745803459	73.134293719	622.3						
T	33.745809170	73.134286879	622.4						
T	33.745816721	73.134275418	622.5						
T	33.745820292	73.134252269	622.6						
T	33.745827724	73.134226868	622.7						
T	33.745827590	73.134212955	622.8						
T	33.745827379	73.134185161	622.9						
T	33.745827232	73.134164329	623.0						
T	33.745823110	73.134120376	623.4						
T	33.745819108	73.134094962	623.6						
T	33.745809104	73.134046559	624.0						
T	33.745779553	73.133977940	624.4						
T	33.745767882	73.133950647	624.5						
T	33.745741014	73.133907775	624.5						
T	33.745727697	73.133896685	624.4						
T	33.745710638	73.133881182	624.2						
T	33.745689907	73.133874906	623.9						
T	33.745678647	73.133872940	623.8						
T	33.745669286	73.133873190	623.6						
T	33.745658089	73.133878004	623.5						
T	33.745654365	73.133880357	623.4						
T	33.745641369	73.133896464	623.2						
T	33.745635817	73.133907855	623.0						
T	33.745630280	73.133923733	622.9						
T	33.745626707	73.133937262	622.8						
T	33.745612696	73.133993529	622.3						
T	33.745598792	73.134056572	621.8						
T	33.745581023	73.134137682	621.3						
T	33.745577715	73.134187304	621.1						
T	33.745572468	73.134221135	620.9						
T	33.745572926	73.134293554	620.7						
T	33.745573154	73.134343392	620.5						
T	33.745573237	73.134361531	620.4						
T	33.745573339	73.134404560	620.3						
T	33.745580749	73.134436537	620.2						
T	33.745588064	73.134504682	620.2						
T	33.745595516	73.134543626	620.3						
T	33.745610458	73.134608115	620.4						
T	33.745634763	73.134671161	620.6						
T	33.745640394	73.134687519	620.6						
T	33.745649784	73.134708731	620.7						
T	33.745659166	73.134718525	620.7						
T	33.745662911	73.134716487	620.8						
T	33.745668517	73.134705400	620.8						
T	33.745683539	73.134672016	620.9						
T	33.745692950	73.134645076	621.0						
T	33.745692919	73.134624410	621.0						
T	33.745692877	73.134596861	621.0						
T	33.745692856	73.134583087	621.0						
T	33.745692814	73.134555542	621.0						
T	33.745692793	73.134541771	621.0						
T	33.745683305	73.134511493	620.9						
T	33.745670056	73.134476537	620.8						
T	33.745664397	73.134467141	620.8						
T	33.745653161	73.134455275	620.7						
T	33.745634490	73.134445433	620.6						
T	33.745621463	73.134442653	620.5						
T	33.745614035	73.134440092	620.4						
T	33.745601062	73.134439590	620.3						
T	33.745589971	73.134445953	620.2						
T	33.745580739	73.134456889	620.2						
T	33.745569689	73.134467725	620.1						
T	33.745560490	73.134489882	620.0						
T	33.745556812	73.134500984	620.0						
T	33.745551301	73.134523259	620.0						
T	33.745536737	73.134576654	619.9						
T	33.745533093	73.134592211	619.8						
T	33.745527704	73.134630277	619.8						
